Time_s, Short-Term-Fuel-Trim-Bank-1_%, Calculated-Engine-Load-Value_%, Vehicle-Speed_km/h, Intake-Air-Temperature_C, Engine-Coolant-Temperature_C, Long-Term-Fuel-Trim-Bank-1_%, Intake-Manifold-Absolute-Pressure_kPa, Engine-RPM_rpm, Absolute-Throttle-Position_%, Timing-Advance-for-#1-cylinder_°
0.0, *, *, *, *, *, *, *, *, *, *
318.0, 2.8, 36.1, 97, 29, 87, -4.8, 43.0, 2238, 11.0, 33.5
319.2, 0.0, 36.1, 97, 29, 87, -7.0, 42.5, 2230, 11.0, 33.5
320.4, 2.3, 36.1, 97, 29, 87, -6.9, 42.0, 2219, 11.0, 33.5
321.6, 3.0, 36.1, 96, 29, 87, -6.3, 42.1, 2202, 11.0, 33.5
322.8, 7.8, 36.2, 95, 29, 87, -5.8, 42.0, 2199, 11.0, 33.5
324.0, 6.4, 37.4, 95, 29, 87, -4.7, 42.0, 2191, 11.0, 33.5
325.2, 2.3, 42.8, 94, 29, 87, -4.4, 44.8, 2189, 11.0, 33.5
326.4, 2.3, 42.3, 94, 29, 87, -3.9, 51.1, 2184, 11.1, 32.2
327.6, 2.3, 40.1, 94, 29, 87, -3.7, 49.5, 2181, 11.0, 30.5
328.8, 2.0, 40.0, 94, 29, 87, -3.1, 44.1, 2174, 11.5, 31.3
330.0, -0.0, 38.7, 94, 29, 87, -3.1, 44.0, 2180, 11.4, 32.5
331.2, 0.8, 38.9, 94, 29, 87, -3.1, 44.1, 2240, 11.4, 32.5
